,Grup,Cultiu,Cultiu_fr
46,HORTICOLES,TOMÀQUET,"Translated(src=ca, dest=en, text=Tomato, pronunciation=None, extra_data=""{'confiden..."")"
87,GUARET,GUARET NO SIE/ SUP. LLIURE SE*,"Translated(src=ca, dest=en, text=No Sie/ Sup.Free se*, pronunciation=None, extra_data=""{'confiden..."")"
92,GUARET,GUARET SIE/ SUP. LLIURE SEMBRA,"Translated(src=ca, dest=en, text=SIE/ SUDER fallow.Free sowing, pronunciation=None, extra_data=""{'confiden..."")"
94,PROTEAGINOSES,PÈSOLS SIE,"Translated(src=ca, dest=en, text=Peas sie, pronunciation=None, extra_data=""{'confiden..."")"
95,LLEGUMINOSES,VECES SIE,"Translated(src=ca, dest=en, text=You see you, pronunciation=None, extra_data=""{'confiden..."")"
134,VINYA,VINYES,"Translated(src=ca, dest=en, text=Vineyards, pronunciation=None, extra_data=""{'confiden..."")"
162,FRUITS DE CLOSCA,AMETLLERS,"Translated(src=ca, dest=en, text=Almond, pronunciation=None, extra_data=""{'confiden..."")"
166,FRUITA DOLCA,ALBERCOQUERS,"Translated(src=ca, dest=en, text=Apricot, pronunciation=None, extra_data=""{'confiden..."")"
173,PROTEAGINOSES,PÈSOLS NO SIE,"Translated(src=ca, dest=en, text=Peas no sie, pronunciation=None, extra_data=""{'confiden..."")"
185,HORTICOLES,HORTA,"Translated(src=ca, dest=en, text=Orchard, pronunciation=None, extra_data=""{'confiden..."")"
189,CEREALS,BLAT TOU,"Translated(src=ca, dest=en, text=Soft wheat, pronunciation=None, extra_data=""{'confiden..."")"
835,CEREALS,MILL,"Translated(src=ca, dest=en, text=Millet, pronunciation=None, extra_data=""{'confiden..."")"
908,OLEAGINOSES,CAMELINA,"Translated(src=ca, dest=en, text=Cameline, pronunciation=None, extra_data=""{'confiden..."")"
924,FARRATGERES,ALFALS SIE,"Translated(src=ca, dest=en, text=Alfalfa sie, pronunciation=None, extra_data=""{'confiden..."")"
936,FARRATGERES,TREPADELLA SIE,"Translated(src=ca, dest=en, text=Trepadella sie, pronunciation=None, extra_data=""{'confiden..."")"
938,FARRATGERES,FESTUCA,"Translated(src=ca, dest=en, text=Pistube, pronunciation=None, extra_data=""{'confiden..."")"
940,FARRATGERES,RAY-GRASS,"Translated(src=ca, dest=en, text=Ray-grrass, pronunciation=None, extra_data=""{'confiden..."")"
980,FRUITA DOLCA,FIGUERA,"Translated(src=ca, dest=en, text=Fig tree, pronunciation=None, extra_data=""{'confiden..."")"
981,FARRATGERES,VEÇA I CIVADA SIE,"Translated(src=ca, dest=en, text=Veça and oats sie, pronunciation=None, extra_data=""{'confiden..."")"
1006,FARRATGERES,VEÇA I CIVADA NO SIE,"Translated(src=ca, dest=en, text=Veça and oats no sie, pronunciation=None, extra_data=""{'confiden..."")"
1150,CEREALS D'ESTIU,BLAT DE MORO,"Translated(src=ca, dest=en, text=CORN, pronunciation=None, extra_data=""{'confiden..."")"
1220,PROTEAGINOSES,FAVES I FAVONS NO SIE,"Translated(src=ca, dest=en, text=Beans and favons no sie, pronunciation=None, extra_data=""{'confiden..."")"
1248,FRUITS DE CLOSCA,AVELLANER,"Translated(src=ca, dest=en, text=Haique, pronunciation=None, extra_data=""{'confiden..."")"
1250,HORTICOLES,ENCIAM,"Translated(src=ca, dest=en, text=Lettuce, pronunciation=None, extra_data=""{'confiden..."")"
1254,HORTICOLES,COL I COLIFLOR,"Translated(src=ca, dest=en, text=Cabbage and cauliflower, pronunciation=None, extra_data=""{'confiden..."")"
1256,HORTICOLES,COGOMBRE,"Translated(src=ca, dest=en, text=Cucumber, pronunciation=None, extra_data=""{'confiden..."")"
1257,HORTICOLES,BLEDA,"Translated(src=ca, dest=en, text=SWISS CHARD, pronunciation=None, extra_data=""{'confiden..."")"
1261,FARRATGERES,VEÇA I TRITICALE SIE,"Translated(src=ca, dest=en, text=Veça and Triticale Sie, pronunciation=None, extra_data=""{'confiden..."")"
1262,FARRATGERES,ALFALS NO SIE,"Translated(src=ca, dest=en, text=Alfalfa no sie, pronunciation=None, extra_data=""{'confiden..."")"
1263,LLEGUMINOSES,MONGETA NO SIE,"Translated(src=ca, dest=en, text=Bean no sie, pronunciation=None, extra_data=""{'confiden..."")"
1374,OLEAGINOSES,COLZA,"Translated(src=ca, dest=en, text=Rapese, pronunciation=None, extra_data=""{'confiden..."")"
1387,PROTEAGINOSES,FAVES I FAVONS SIE,"Translated(src=ca, dest=en, text=Beauty and Sie Favons, pronunciation=None, extra_data=""{'confiden..."")"
1432,LLEGUMINOSES,MONGETA SIE,"Translated(src=ca, dest=en, text=SIE beans, pronunciation=None, extra_data=""{'confiden..."")"
1442,ALTRES PRODUCTES,ESPECIES AROMÀTIQUES HERBÀCI,"Translated(src=ca, dest=en, text=Herbaceous aromatic species, pronunciation=None, extra_data=""{'confiden..."")"
1450,HORTICOLES,CARXOFA,"Translated(src=ca, dest=en, text=ARTICHOKE, pronunciation=None, extra_data=""{'confiden..."")"
1451,HORTICOLES,PASTANAGA,"Translated(src=ca, dest=en, text=Carrot, pronunciation=None, extra_data=""{'confiden..."")"
1456,HORTICOLES,MADUIXA,"Translated(src=ca, dest=en, text=Strawberry, pronunciation=None, extra_data=""{'confiden..."")"
1467,HORTICOLES,ESPARRECS,"Translated(src=ca, dest=en, text=Asparagus, pronunciation=None, extra_data=""{'confiden..."")"
1475,ALTRES PRODUCTES,CÀNEM,"Translated(src=ca, dest=en, text=High, pronunciation=None, extra_data=""{'confiden..."")"
1481,HORTICOLES,PEBROT,"Translated(src=ca, dest=en, text=Pepper, pronunciation=None, extra_data=""{'confiden..."")"
1487,CITRICS,CLEMENTINA,"Translated(src=ca, dest=en, text=Clementine, pronunciation=None, extra_data=""{'confiden..."")"
1497,FRUITA DOLCA,FRUITERS VARIS,"Translated(src=ca, dest=en, text=Various fruit trees, pronunciation=None, extra_data=""{'confiden..."")"
1523,FRUITS DE CLOSCA,NOGUERES,"Translated(src=ca, dest=en, text=Walnut, pronunciation=None, extra_data=""{'confiden..."")"
1524,FRUITA DOLCA,ALTRES FRUITERS,"Translated(src=ca, dest=en, text=Other fruit trees, pronunciation=None, extra_data=""{'confiden..."")"
1888,CEREALS,ESPELTA,"Translated(src=ca, dest=en, text=Spelled, pronunciation=None, extra_data=""{'confiden..."")"
2364,CEREALS,SÈGOL,"Translated(src=ca, dest=en, text=Rye, pronunciation=None, extra_data=""{'confiden..."")"
2571,LLEGUMINOSES,LLENTIES SIE,"Translated(src=ca, dest=en, text=You can see, pronunciation=None, extra_data=""{'confiden..."")"
2588,LLEGUMINOSES,ERBS (LLEGUM) SIE,"Translated(src=ca, dest=en, text=Erbs (legume) sie, pronunciation=None, extra_data=""{'confiden..."")"
2614,FARRATGERES,FENIGREC SIE,"Translated(src=ca, dest=en, text=Fenigrec sie, pronunciation=None, extra_data=""{'confiden..."")"
2666,FARRATGERES,TREPADELLA NO SIE,"Translated(src=ca, dest=en, text=Trepadella no sie, pronunciation=None, extra_data=""{'confiden..."")"
2711,ALTRES PRODUCTES,REMOLATXA,"Translated(src=ca, dest=en, text=Beet, pronunciation=None, extra_data=""{'confiden..."")"
2735,HORTICOLES,API,"Translated(src=ca, dest=en, text=Celery, pronunciation=None, extra_data=""{'confiden..."")"
2740,HORTICOLES,ALBERGÍNIA,"Translated(src=ca, dest=en, text=EGGPLANT, pronunciation=None, extra_data=""{'confiden..."")"
2761,HORTICOLES,NAP I COL XINESA,"Translated(src=ca, dest=en, text=Nap and chinese cabbage, pronunciation=None, extra_data=""{'confiden..."")"
2768,HORTICOLES,ESPINAC,"Translated(src=ca, dest=en, text=Spinach, pronunciation=None, extra_data=""{'confiden..."")"
2772,HORTICOLES,RAVE,"Translated(src=ca, dest=en, text=Radish, pronunciation=None, extra_data=""{'confiden..."")"
2785,ALTRES PRODUCTES,ALFÀBREGA,"Translated(src=ca, dest=en, text=BASIL, pronunciation=None, extra_data=""{'confiden..."")"
2855,FRUITA DOLCA,KIWI,"Translated(src=ca, dest=en, text=KIWI FRUIT, pronunciation=None, extra_data=""{'confiden..."")"
3221,CEREALS,TRITICALE,"Translated(src=ca, dest=en, text=Triticale, pronunciation=None, extra_data=""{'confiden..."")"
3484,FARRATGERES,VECES NO SIE,"Translated(src=ca, dest=en, text=Veil no sie, pronunciation=None, extra_data=""{'confiden..."")"
4137,ALTRES PRODUCTES,LLÚPOL,"Translated(src=ca, dest=en, text=Hops, pronunciation=None, extra_data=""{'confiden..."")"
4159,ALTRES PRODUCTES,TÒFONA,"Translated(src=ca, dest=en, text=Truffle, pronunciation=None, extra_data=""{'confiden..."")"
5276,ALTRES PRODUCTES,LAVANDA O ESPÍGOL,"Translated(src=ca, dest=en, text=Lavender or lavender, pronunciation=None, extra_data=""{'confiden..."")"
5278,LLEGUMINOSES,CIGRONS NO SIE,"Translated(src=ca, dest=en, text=Chickpeas no sie, pronunciation=None, extra_data=""{'confiden..."")"
5281,FARRATGERES,FENIGREC NO SIE,"Translated(src=ca, dest=en, text=Fenigrec no sie, pronunciation=None, extra_data=""{'confiden..."")"
5283,LLEGUMINOSES,FAVERA BORDA NO SIE O MOREU N*,"Translated(src=ca, dest=en, text=Favera Borda No Sie or Moreu N*, pronunciation=None, extra_data=""{'confiden..."")"
5363,HORTICOLES,"ENDÍVIA, ESCAROLA I XICOIRA","Translated(src=ca, dest=en, text=Endive, escarole and chicory, pronunciation=None, extra_data=""{'confiden..."")"
5367,CITRICS,LLIMONER,"Translated(src=ca, dest=en, text=LEMON TREE, pronunciation=None, extra_data=""{'confiden..."")"
5368,FRUITA DOLCA,CAQUI,"Translated(src=ca, dest=en, text=Flower, pronunciation=None, extra_data=""{'confiden..."")"
6344,ALTRES PRODUCTES,FLORS I ORNAMENTALS,"Translated(src=ca, dest=en, text=Flowers and ornamental, pronunciation=None, extra_data=""{'confiden..."")"
6381,FARRATGERES,PÈSOL I ORDI SIE,"Translated(src=ca, dest=en, text=Pea and barley sie, pronunciation=None, extra_data=""{'confiden..."")"
6840,FARRATGERES,VEÇA I BLAT SIE,"Translated(src=ca, dest=en, text=Veca and wheat sie, pronunciation=None, extra_data=""{'confiden..."")"
6852,FARRATGERES,VEÇA I BLAT NO SIE,"Translated(src=ca, dest=en, text=Veça and wheat no sie, pronunciation=None, extra_data=""{'confiden..."")"
7685,FRUITA DOLCA,PRUNERES,"Translated(src=ca, dest=en, text=Plueres, pronunciation=None, extra_data=""{'confiden..."")"
8919,LLEGUMINOSES,ERBS (LLEGUM) NO SIE,"Translated(src=ca, dest=en, text=Erbs (legume) no sie, pronunciation=None, extra_data=""{'confiden..."")"
9468,ALTRES PRODUCTES,VIVER ARBRE I ARBUST,"Translated(src=ca, dest=en, text=Tree nursery and shrub, pronunciation=None, extra_data=""{'confiden..."")"
10631,ALTRES PRODUCTES,JULIVERT,"Translated(src=ca, dest=en, text=Parsley, pronunciation=None, extra_data=""{'confiden..."")"
11001,CEREALS,MESTALL,"Translated(src=ca, dest=en, text=Mestal, pronunciation=None, extra_data=""{'confiden..."")"
11061,FRUITA DOLCA,NECTARINS,"Translated(src=ca, dest=en, text=Nectarins, pronunciation=None, extra_data=""{'confiden..."")"
11402,LLEGUMINOSES,CIGRONS SIE,"Translated(src=ca, dest=en, text=Sie chickpea, pronunciation=None, extra_data=""{'confiden..."")"
13370,CEREALS,BLAT DUR,"Translated(src=ca, dest=en, text=Hard wheat, pronunciation=None, extra_data=""{'confiden..."")"
14368,FRUITS DE CLOSCA,GARROFER,"Translated(src=ca, dest=en, text=Carob tree, pronunciation=None, extra_data=""{'confiden..."")"
14388,FRUITA DOLCA,CODONY,"Translated(src=ca, dest=en, text=Quince, pronunciation=None, extra_data=""{'confiden..."")"
14933,LLEGUMINOSES,LLENTIES NO SIE,"Translated(src=ca, dest=en, text=Lentils no sie, pronunciation=None, extra_data=""{'confiden..."")"
16312,FRUITS DE CLOSCA,PISTATXER O FESTUC,"Translated(src=ca, dest=en, text=Pistachio or pistachio, pronunciation=None, extra_data=""{'confiden..."")"
16393,CEREALS,BLAT KHORASAN,"Translated(src=ca, dest=en, text=Wheat khorasan, pronunciation=None, extra_data=""{'confiden..."")"
17336,FARRATGERES,DÀCTIL (DACTYLIS),"Translated(src=ca, dest=en, text=Dactyl (dactylis), pronunciation=None, extra_data=""{'confiden..."")"
17792,FRUITA DOLCA,PRESSEGUERS/NECTARINS,"Translated(src=ca, dest=en, text=Presseguers/nectarins, pronunciation=None, extra_data=""{'confiden..."")"
18518,ALTRES PRODUCTES,SAFRÀ,"Translated(src=ca, dest=en, text=Saffron, pronunciation=None, extra_data=""{'confiden..."")"
19913,FARRATGERES,VEÇA I ORDI NO SIE,"Translated(src=ca, dest=en, text=Veça and barley no sie, pronunciation=None, extra_data=""{'confiden..."")"
21986,FARRATGERES,VEÇA I ORDI SIE,"Translated(src=ca, dest=en, text=Veça and barley sie, pronunciation=None, extra_data=""{'confiden..."")"
22308,ALTRES PRODUCTES,ESPECIES AROMATIQUES LLENYOSES,"Translated(src=ca, dest=en, text=Woody flavoring species, pronunciation=None, extra_data=""{'confiden..."")"
23664,FARRATGERES,TRÈVOL SIE,"Translated(src=ca, dest=en, text=Clover Sie, pronunciation=None, extra_data=""{'confiden..."")"
23763,FARRATGERES,TRÈVOL NO SIE,"Translated(src=ca, dest=en, text=Clover no sie, pronunciation=None, extra_data=""{'confiden..."")"
25254,FRUITA DOLCA,MAGRANER,"Translated(src=ca, dest=en, text=Pomegranate, pronunciation=None, extra_data=""{'confiden..."")"
27773,CEREALS,FAJOL,"Translated(src=ca, dest=en, text=Rack, pronunciation=None, extra_data=""{'confiden..."")"
28075,ALTRES PRODUCTES,SAJOLIDA,"Translated(src=ca, dest=en, text=Sajolide, pronunciation=None, extra_data=""{'confiden..."")"
28111,FARRATGERES,VEÇA I TRITICALE  NO SIE,"Translated(src=ca, dest=en, text=Veça and Triticale No Sie, pronunciation=None, extra_data=""{'confiden..."")"
28116,FARRATGERES,PÈSOL I CIVADA NO SIE,"Translated(src=ca, dest=en, text=Peas and oats no sie, pronunciation=None, extra_data=""{'confiden..."")"
28225,FARRATGERES,PÈSOL I CIVADA SIE,"Translated(src=ca, dest=en, text=Pea and oats sie, pronunciation=None, extra_data=""{'confiden..."")"
30495,OLEAGINOSES,GIRA-SOL,"Translated(src=ca, dest=en, text=Sunflower, pronunciation=None, extra_data=""{'confiden..."")"
32211,ALTRES PRODUCTES,CORIANDRE,"Translated(src=ca, dest=en, text=Coriander, pronunciation=None, extra_data=""{'confiden..."")"
33835,ALTRES PRODUCTES,BOIXAC O CALÈNDULA,"Translated(src=ca, dest=en, text=Boxwood or calendula, pronunciation=None, extra_data=""{'confiden..."")"
41331,ALTRES PRODUCTES,MELISSA O TARONGINA,"Translated(src=ca, dest=en, text=Melissa or orange, pronunciation=None, extra_data=""{'confiden..."")"
43857,LLEGUMINOSES,GUIXES NO SIE O PEDREROL NO S*,"Translated(src=ca, dest=en, text=Plaster no sie or quarrerol does not s*, pronunciation=None, extra_data=""{'confiden..."")"
45903,FRUITA DOLCA,NESPRER,"Translated(src=ca, dest=en, text=Nesprer, pronunciation=None, extra_data=""{'confiden..."")"
46517,FARRATGERES,SULLA NO SIE O ENCLOVA NO SIE,"Translated(src=ca, dest=en, text=Sulle no sie or enclus, pronunciation=None, extra_data=""{'confiden..."")"
47630,ALTRES PRODUCTES,FARIGOLA O TIMÓ,"Translated(src=ca, dest=en, text=Thyme or rudder, pronunciation=None, extra_data=""{'confiden..."")"
48540,FARRATGERES,POA,"Translated(src=ca, dest=en, text=Poy, pronunciation=None, extra_data=""{'confiden..."")"
52195,ALTRES PRODUCTES,QUINOA,"Translated(src=ca, dest=en, text=Quinoa, pronunciation=None, extra_data=""{'confiden..."")"
62046,CITRICS,TARONGER,"Translated(src=ca, dest=en, text=Orange, pronunciation=None, extra_data=""{'confiden..."")"
73338,OLEAGINOSES,SOIA SIE,"Translated(src=ca, dest=en, text=Soia sie, pronunciation=None, extra_data=""{'confiden..."")"
74081,ALTRES PRODUCTES,LLI,"Translated(src=ca, dest=en, text=LINEN, pronunciation=None, extra_data=""{'confiden..."")"
76395,HORTICOLES,BOLETS,"Translated(src=ca, dest=en, text=MUSHROOMS, pronunciation=None, extra_data=""{'confiden..."")"
77765,ALTRES PRODUCTES,ANET,"Translated(src=ca, dest=en, text=Dill, pronunciation=None, extra_data=""{'confiden..."")"
77768,ALTRES PRODUCTES,FONOLL,"Translated(src=ca, dest=en, text=Fennel, pronunciation=None, extra_data=""{'confiden..."")"
77773,ALTRES PRODUCTES,MENTA,"Translated(src=ca, dest=en, text=Peppermint, pronunciation=None, extra_data=""{'confiden..."")"
77776,ALTRES PRODUCTES,ROMANÍ,"Translated(src=ca, dest=en, text=Rosem, pronunciation=None, extra_data=""{'confiden..."")"
78401,ALTRES PRODUCTES,MARDUIX,"Translated(src=ca, dest=en, text=Mardry, pronunciation=None, extra_data=""{'confiden..."")"
89246,VINYA,RAÏM DE TAULA,"Translated(src=ca, dest=en, text=Table grape, pronunciation=None, extra_data=""{'confiden..."")"
98678,LLEGUMINOSES,FAVERS BORDA SIE O MOREU SIE,"Translated(src=ca, dest=en, text=FAVERS BORDA SIE OR MORE SIE, pronunciation=None, extra_data=""{'confiden..."")"
107895,ALTRES PRODUCTES,CANYA COMUNA,"Translated(src=ca, dest=en, text=Common cane, pronunciation=None, extra_data=""{'confiden..."")"
108337,ALTRES PRODUCTES,CONREU DE FRUITS DEL BOSC,"Translated(src=ca, dest=en, text=Crop of fruits of the forest, pronunciation=None, extra_data=""{'confiden..."")"
113368,HORTICOLES,CRÈIXENS,"Translated(src=ca, dest=en, text=Crude, pronunciation=None, extra_data=""{'confiden..."")"
118632,ALTRES PRODUCTES,CASTANYERS,"Translated(src=ca, dest=en, text=Chestnut trees, pronunciation=None, extra_data=""{'confiden..."")"
121596,ARROS,ARRÒS,"Translated(src=ca, dest=en, text=Rice, pronunciation=None, extra_data=""{'confiden..."")"
126388,FARRATGERES,AGROSTIS,"Translated(src=ca, dest=en, text=Agrostis, pronunciation=None, extra_data=""{'confiden..."")"
128174,PROTEAGINOSES,TRAMUSSOS DOLÇOS SIE,"Translated(src=ca, dest=en, text=SOI Sweet Trams, pronunciation=None, extra_data=""{'confiden..."")"
142407,ALTRES PRODUCTES,ORENGA,"Translated(src=ca, dest=en, text=Orenga, pronunciation=None, extra_data=""{'confiden..."")"
143846,GUARET,GUARET SIE AMB ESPÈCIES MEL?L,"Translated(src=ca, dest=en, text=SIE fallow with honey species? L, pronunciation=None, extra_data=""{'confiden..."")"
148698,FRUITA DOLCA,GERDS,"Translated(src=ca, dest=en, text=RASPBERRY, pronunciation=None, extra_data=""{'confiden..."")"
153129,OLEAGINOSES,SOIA NO SIE,"Translated(src=ca, dest=en, text=Soia no sie, pronunciation=None, extra_data=""{'confiden..."")"
153131,PROTEAGINOSES,TRAMUSSOS DOLÇOS NO SIE,"Translated(src=ca, dest=en, text=Sweet Trams No Sie, pronunciation=None, extra_data=""{'confiden..."")"
158292,FARRATGERES,SULLA SIE O ENCLOVA SIE,"Translated(src=ca, dest=en, text=Suli sie or enclova sie, pronunciation=None, extra_data=""{'confiden..."")"
165516,FRUITA DOLCA,NABIUS,"Translated(src=ca, dest=en, text=Blueberry, pronunciation=None, extra_data=""{'confiden..."")"
168222,FARRATGERES,CLOSA ANY 1,"Translated(src=ca, dest=en, text=Close Year 1, pronunciation=None, extra_data=""{'confiden..."")"
194383,FARRATGERES,CUA DE RATA (PHLEUM),"Translated(src=ca, dest=en, text=Rat tail (phleum), pronunciation=None, extra_data=""{'confiden..."")"
212445,CEREALS,ESCAIOLA,"Translated(src=ca, dest=en, text=Platform, pronunciation=None, extra_data=""{'confiden..."")"
217017,ALTRES PRODUCTES,PERICÓ O HERBA DE SANT JOAN,"Translated(src=ca, dest=en, text=Pericon or St. John's grass, pronunciation=None, extra_data=""{'confiden..."")"
222484,FARRATGERES,PÈSOL I ORDI NO SIE,"Translated(src=ca, dest=en, text=Peas and barley no sie, pronunciation=None, extra_data=""{'confiden..."")"
232945,LLEGUMINOSES,GARLANDA NO SIE,"Translated(src=ca, dest=en, text=Garland no sie, pronunciation=None, extra_data=""{'confiden..."")"
242438,HORTICOLES,BORRATJA,"Translated(src=ca, dest=en, text=Drunk, pronunciation=None, extra_data=""{'confiden..."")"
272021,LLEGUMINOSES,GUIXÓ NO SIE O PÈSOL QUADRAT,"Translated(src=ca, dest=en, text=Plaster no sie or peas square, pronunciation=None, extra_data=""{'confiden..."")"
277362,FRUITA DOLCA,NASHI,"Translated(src=ca, dest=en, text=Nashi, pronunciation=None, extra_data=""{'confiden..."")"
310921,ALTRES PRODUCTES,CAMAMILLA,"Translated(src=ca, dest=en, text=Chamomile, pronunciation=None, extra_data=""{'confiden..."")"
350788,FRUITA DOLCA,GROSELLA,"Translated(src=ca, dest=en, text=Goose, pronunciation=None, extra_data=""{'confiden..."")"
423763,LLEGUMINOSES,GUIXES SIE O PEDREROL SIE,"Translated(src=ca, dest=en, text=Sie or Pedrerol Sie, pronunciation=None, extra_data=""{'confiden..."")"
427460,CEREALS,TRITORDEUM,"Translated(src=ca, dest=en, text=Tritordeum, pronunciation=None, extra_data=""{'confiden..."")"
438142,CITRICS,POMELO O ARANJA,"Translated(src=ca, dest=en, text=Pomelo or grapefruit, pronunciation=None, extra_data=""{'confiden..."")"
438144,CITRICS,MANDARINER HÍBRID,"Translated(src=ca, dest=en, text=Hybrid mandariner, pronunciation=None, extra_data=""{'confiden..."")"
438567,LLEGUMINOSES,'ALGARROBA' HERBÀCIA SIE,"Translated(src=ca, dest=en, text='Algarroba' Herbacea sie, pronunciation=None, extra_data=""{'confiden..."")"
440344,CITRICS,SATSUMA,"Translated(src=ca, dest=en, text=Satsuma, pronunciation=None, extra_data=""{'confiden..."")"
